RI must not be shipped blah blah blah
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Heliod's Intervention","Theros Beyond Death","R","19","White","Near Mint","1"
"Inevitable End","Theros Beyond Death","U","102","Black","Near Mint","1"
"Satyr Token","Theros Beyond Death","T","9","","Near Mint","4"
"Gingerbrute","Throne of Eldraine","C","219","Colorless","Near Mint","3"
"Heraldic Banner","Throne of Eldraine","U","222","Colorless","Near Mint","1"
"Mystic Sanctuary","Throne of Eldraine","C","247","Colorless","Near Mint","1"
"Deathsprout","War of the Spark","U","189","Black;Green","Near Mint","2"
"God-Pharaoh's Statue","War of the Spark","U","238","Colorless","Near Mint","1"
"Neoform","War of the Spark","U","206","Blue;Green","Near Mint","1"
"Foul Orchard","Core Set 2019","C","251","Colorless","Near Mint","1"
"Prodigious Growth","Core Set 2019","R","194","Green","Near Mint","1"
"Remorseful Cleric","Core Set 2019","R","33","White","Near Mint","1"
"Skyscanner","Core Set 2019","C","245","Colorless","Near Mint","1"
"Combat Celebrant","Amonkhet","M","125","Red","Near Mint","1"
"Topan Freeblade","Magic Origins","C","36","White","Near Mint","1"
"Gudul Lurker","Dragons of Tarkir","U","56","Blue","Near Mint","1"
"Debt to the Deathless","Dragon's Maze","U","64","Black;White","Near Mint","2"
"Progenitor Mimic","Dragon's Maze","M","92","Blue;Green","Near Mint","2"
"Furyborn Hellkite","Magic 2012 (M12)","M","135","Red","Near Mint","1"
"Ferris Wheel (4-5-6)","Unfinity","R","210","Colorless","Near Mint","1"
"Elturel Survivors","Commander Legends: Battle for Baldur's Gate","R","172","Red","Near Mint","1"
"Mirror of Life Trapping","Commander Legends: Battle for Baldur's Gate","R","326","Colorless","Near Mint","1"
"Assemble the Legion","Commander: Phyrexia: All Will Be One","R","115","Red;White","Near Mint","1"
"Chain Reaction","Commander: Phyrexia: All Will Be One","R","97","Red","Near Mint","1"
"Exotic Orchard","Commander: Phyrexia: All Will Be One","R","152","Colorless","Near Mint","1"
"Loxodon Warhammer","Commander: Phyrexia: All Will Be One","R","135","Colorless","Near Mint","1"
"Rip Apart","Commander: Phyrexia: All Will Be One","U","124","Red;White","Near Mint","1"
"Soul-Guide Lantern","Commander: Phyrexia: All Will Be One","U","142","Colorless","Near Mint","5"
"Millicent, Restless Revenant","Commander: Innistrad: Crimson Vow","M","1","Blue;White","Near Mint","1"
"Diviner's Portent (Extended Art)","Commander: Adventures in the Forgotten Realms","R","284","Blue","Near Mint","2"
"Grim Hireling (Extended Art)","Commander: Adventures in the Forgotten Realms","R","294","Black","Near Mint","1"
"Fiery Encore","Commander 2021","R","51","Red","Near Mint","1"
"Inferno Project","Commander 2021","R","52","Red","Near Mint","1"
"Living Twister","Commander: Zendikar Rising","R","93","Green;Red","Near Mint","1"
"Shared Animosity","Commander 2020","R","158","Red","Near Mint","1"
"Beacon of Unrest","Commander 2019","R","105","Black","Near Mint","1"
"Assassin's Trophy (Borderless)","Double Masters 2022","R","372","Black;Green","Near Mint","1"
"Dragon Arch","Double Masters 2022","U","305","Colorless","Near Mint","1"
"Gravecrawler","Double Masters 2022","R","78","Black","Near Mint","1"
"Jodah, Archmage Eternal","Double Masters 2022","R","233","Blue;Red;White","Near Mint","1"
"Monastery Swiftspear","Double Masters 2022","C","119","Red","Near Mint","1"
"Supernatural Stamina","Double Masters 2022","C","93","Black","Near Mint","1"
"Buried Ruin","Double Masters","U","312","Colorless","Near Mint","1"
"Cyclonic Rift (Borderless)","Double Masters","R","339","Blue","Near Mint","1"
"Fatal Push (Borderless)","Double Masters","R","343","Black","Near Mint","1"
"Noble Hierarch (Borderless)","Double Masters","R","352","Green","Near Mint","1"
"Tuktuk the Explorer","Double Masters","R","149","Red","Near Mint","1"
"Urza's Power Plant","Double Masters","C","330","","Near Mint","1"
"Magus of the Bazaar","Ultimate Masters","R","63","Blue","Near Mint","1"
"Wall of Reverence","Ultimate Masters","R","41","White","Near Mint","1"
"Orcish Oriflamme","Eternal Masters","C","140","Red","Near Mint","1"
"Recover","Modern Masters 2017","C","82","Black","Near Mint","1"
"Ragavan, Nimble Pilferer (Borderless)","Modern Horizons 2","M","315","Red","Near Mint","1"
"Force of Will (Borderless)","Dominaria Remastered","M","418","Blue","Near Mint","1"
"Shivan Dragon","Dominaria Remastered","R","135","Red","Near Mint","1"
"Intangible Virtue","Time Spiral: Remastered","S","295","White","Near Mint","1"
"Leveler","Time Spiral: Remastered","S","397","Colorless","Near Mint","1"
"Life and Limb","Time Spiral: Remastered","R","215","Green","Near Mint","1"
"Lingering Souls","Time Spiral: Remastered","S","296","White","Near Mint","1"
"Molten Rain","Time Spiral: Remastered","S","348","Red","Near Mint","4"
"Simian Spirit Guide","Time Spiral: Remastered","C","190","Red","Near Mint","1"
"Delighted Halfling (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","402","Green","Near Mint","1"
"Gandalf the White (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","442","White","Near Mint","1"
"Glamdring","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","239","Colorless","Near Mint","1"
"War of the Last Alliance","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","36","White","Near Mint","1"
"Birth of the Imperium","Universes Beyond: Warhammer 40,000","R","107","Black;Blue;White","Near Mint","1"
"Exterminatus","Universes Beyond: Warhammer 40,000","R","120","Black;White","Near Mint","1"
"Skycloud Expanse","Universes Beyond: Warhammer 40,000","R","294","Colorless","Near Mint","1"
"Leechridden Swamp","Duel Decks: Nissa vs. Ob Nixilis","U","65","Colorless","Near Mint","2"
"Monk Token","Dominaria United","T","14","Red","Lightly Played","1"
"Tenacious Underdog","Streets of New Capenna","R","97","Black","Lightly Played","2"
"Forest (301) - JP Full Art","Kamigawa: Neon Dynasty","L","301","Colorless","Lightly Played","1"
"Mountain (300) - JP Full Art","Kamigawa: Neon Dynasty","L","300","Colorless","Lightly Played","1"
"Scrap Welder (Showcase)","Kamigawa: Neon Dynasty","R","388","Red","Lightly Played","1"
"Adeline, Resplendent Cathar","Innistrad: Midnight Hunt","R","1","White","Lightly Played","1"
"Arlinn, the Pack's Hope (Showcase)","Innistrad: Midnight Hunt","M","307","Green;Red","Lightly Played","1"
"Eliminate","Core Set 2021","U","97","Black","Lightly Played","1"
"Ranger's Guile","Core Set 2021","C","199","Green","Lightly Played","1"
"Angel of Vitality","Core Set 2020","U","4","White","Lightly Played","1"
"Cruel Celebrant","War of the Spark","U","188","Black;White","Lightly Played","2"
"Electrostatic Field","Guilds of Ravnica","U","97","Red","Lightly Played","2"
"Golgari Guildgate (248)","Guilds of Ravnica","C","248","Colorless","Lightly Played","1"
"Murmuring Mystic","Guilds of Ravnica","U","45","Blue","Lightly Played","1"
"Gift of Paradise","Amonkhet","C","167","Green","Lightly Played","1"
"Ruins of Oran-Rief","Oath of the Gatewatch","R","176","Colorless","Lightly Played","1"
"Explosive Vegetation","Dragons of Tarkir","U","186","Green","Lightly Played","1"
"Merciless Executioner","Fate Reforged","U","76","Black","Lightly Played","1"
"Soulfire Grand Master","Fate Reforged","M","27","White","Lightly Played","1"
"Dauntless River Marshal","Magic 2015 (M15)","U","8","White","Lightly Played","1"
"Deadbridge Chant","Dragon's Maze","M","63","Black;Green","Lightly Played","1"
"Debt to the Deathless","Dragon's Maze","U","64","Black;White","Lightly Played","2"
"Master of Cruelties","Dragon's Maze","M","82","Black;Red","Lightly Played","3"
"Possibility Storm","Dragon's Maze","R","34","Red","Lightly Played","1"
"Progenitor Mimic","Dragon's Maze","M","92","Blue;Green","Lightly Played","1"
"Ral Zarek","Dragon's Maze","M","94","Blue;Red","Lightly Played","2"
"Voice of Resurgence","Dragon's Maze","M","114","Green;White","Lightly Played","1"
"Wear // Tear","Dragon's Maze","U","135","Red;White","Lightly Played","1"
"Martial Law","Return to Ravnica","R","14","White","Lightly Played","1"
"Angel of Flight Alabaster","Innistrad","R","2","White","Lightly Played","1"
"Rot Wolf","Mirrodin Besieged","C","90","Green","Lightly Played","1"
"Glimmerpost","Scars of Mirrodin","C","","Colorless","Lightly Played","1"
"Consuming Bonfire","Lorwyn","C","","Red","Lightly Played","1"
"Entangling Trap","Lorwyn","U","","White","Lightly Played","1"
"Flamekin Bladewhirl","Lorwyn","U","165","Red","Lightly Played","1"
"Hillcomber Giant","Lorwyn","C","","White","Lightly Played","1"
"Mournwhelk","Lorwyn","C","","Black","Lightly Played","1"
"Sentinels of Glen Elendra","Lorwyn","C","","Blue","Lightly Played","1"
"Yavimaya Enchantress","10th Edition","U","310","Green","Lightly Played","1"
"Skred","Coldsnap","C","97","Red","Lightly Played","1"
"Gemstone Array","Fifth Dawn","U","","Colorless","Lightly Played","1"
"Retract","Darksteel","R","32","Blue","Lightly Played","1"
"Elvish Guidance","Onslaught","C","255","Green","Lightly Played","1"
"Exalted Angel","Onslaught","R","28","White","Lightly Played","1"
"Draco","Planeshift","R","131","Colorless","Lightly Played","1"
"Absolute Grace","Urza's Saga","U","1","White","Lightly Played","1"
"Animate Dead","Fifth Edition","U","2","Black","Lightly Played","1"
"Ashnod's Altar","Fifth Edition","U","","Colorless","Lightly Played","1"
"Animate Dead","Fourth Edition","U","2","Black","Lightly Played","1"
"Winter Orb","Fourth Edition","R","376","Colorless","Lightly Played","1"
"Goblin Chirurgeon (Foglio)","Fallen Empires","C","","Red","Lightly Played","1"
"Icatian Store","Fallen Empires","R","","","Lightly Played","1"
"Blanchwood Armor","Duels of the Planeswalkers","U","55","Green","Lightly Played","1"
"Forge of Heroes","Commander 2018","C","58","Colorless","Lightly Played","2"
"Arcane Lighthouse","Commander 2014","U","59","","Lightly Played","1"
"Mystical Tutor","Dominaria Remastered","R","60","Blue","Lightly Played","1"
"Urza, Lord High Artificer (Borderless)","Dominaria Remastered","M","423","Blue","Lightly Played","1"
"Great Unclean One","Universes Beyond: Warhammer 40,000","R","35","Black","Lightly Played","1"
"Abrupt Decay","Guilds of Ravnica: Guild Kits","R","57","Black;Green","Lightly Played","1"
"Elves of Deep Shadow","Guilds of Ravnica: Guild Kits","C","56","Green","Lightly Played","1"
"Doom Blade","Duel Decks: Nissa vs. Ob Nixilis","U","47","Black","Lightly Played","1"
"Undermine","Duel Decks: Ajani vs. Nicol Bolas","R","62","Black;Blue","Lightly Played","1"
"Utter End","Promo Pack: Ikoria","R","210","Black;White","Lightly Played","1"
"Blood Sun","Promo Pack: Core Set 2020","R","92","Red","Lightly Played","1"
"Frontier Siege","Fate Reforged","R","131","Green","Moderately Played","1"
"Master of Cruelties","Dragon's Maze","M","82","Black;Red","Moderately Played","1"
"Sire of Insanity","Dragon's Maze","R","104","Black;Red","Moderately Played","1"
"Zhur-Taa Ancient","Dragon's Maze","R","119","Green;Red","Moderately Played","1"
"Wirewood Channeler","Legions","U","144","Green","Moderately Played","2"
"Aurification","Onslaught","R","6","White","Moderately Played","2"
"Island (337)","Odyssey","L","337","","Moderately Played","1"
"Sky Diamond","Mirage","U","","Colorless","Moderately Played","1"
"Red Elemental Blast","Fourth Edition","C","","Red","Moderately Played","1"
"Goblin Warrens","Fallen Empires","R","","Red","Moderately Played","1"
"River Merfolk","Fallen Empires","R","","Blue","Moderately Played","1"
"Venser's Journal","Commander 2016","R","279","Colorless","Moderately Played","1"
"Upwelling","Scourge","R","131","Green","Heavily Played","1"
"Counterspell","Fifth Edition","C","77","Blue","Heavily Played","2"
"Gush","Duel Decks: Jace vs. Chandra","C","27","Blue","Heavily Played","1"
"Assimilate Essence","March of the Machine","C","47","Blue","Near Mint Foil","1"
"Botanical Brawler","March of the Machine","U","220","Green;White","Near Mint Foil","3"
"Disturbing Conversion","March of the Machine","C","54","Blue","Near Mint Foil","1"
"Monastery Mentor (Extended Art)","March of the Machine","M","347","White","Near Mint Foil","1"
"Vorinclex (Showcase)","March of the Machine","M","301","Green","Near Mint Foil","1"
"Brudiclad, Telchor Engineer","March of the Machine: Multiverse Legends","R","36","Blue;Red","Near Mint Foil","1"
"Zada, Hedron Grinder (Foil Etched)","March of the Machine: Multiverse Legends","U","90","Red","Near Mint Foil","1"
"Argentum Masticore (Extended Art)","Phyrexia: All Will Be One","R","393","Colorless","Near Mint Foil","1"
"Drivnod, Carnage Dominus (Oil Slick Raised Foil)","Phyrexia: All Will Be One","M","350","Black","Near Mint Foil","1"
"Malcator's Watcher","Phyrexia: All Will Be One","C","58","Blue","Near Mint Foil","1"
"Phyrexian Vindicator (Oil Slick Raised Foil)","Phyrexia: All Will Be One","M","347","White","Near Mint Foil","1"
"Prologue to Phyresis","Phyrexia: All Will Be One","C","65","Blue","Near Mint Foil","1"
"Scheming Aspirant","Phyrexia: All Will Be One","U","107","Black","Near Mint Foil","3"
"Thrun, Breaker of Silence","Phyrexia: All Will Be One","R","186","Green","Near Mint Foil","1"
"Terisian Mindbreaker","The Brothers' War","R","83","Colorless","Near Mint Foil","1"
"Quietus Spike","The Brothers' War: Retro Frame Artifacts","R","46","Colorless","Near Mint Foil","2"
"Skyclave Apparition (Extended Art)","Zendikar Rising","R","322","White","Near Mint Foil","3"
"Alora, Merry Thief (Foil Etched)","Commander Legends: Battle for Baldur's Gate","U","481","Blue","Near Mint Foil","1"
"Displacer Kitten (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","560","Blue","Near Mint Foil","1"
"Iron Mastiff","Commander Legends: Battle for Baldur's Gate","U","317","Colorless","Near Mint Foil","1"
"Vexing Puzzlebox (Borderless)","Commander Legends: Battle for Baldur's Gate","M","374","Colorless","Near Mint Foil","1"
"Crow of Dark Tidings","Commander Legends","C","115","Black","Near Mint Foil","1"
"Wild Celebrants","Commander Legends","C","212","Red","Near Mint Foil","1"
"Ring of Barahir - Sword of the Animist","Commander: The Lord of the Rings: Tales of Middle-earth","M","355","Colorless","Near Mint Foil","1"
"Monumental Corruption (Extended Art)","Commander: Phyrexia: All Will Be One","R","34","Black","Near Mint Foil","2"
"Captured by Lagacs","Modern Horizons 2","C","188","Green;White","Near Mint Foil","1"
"Glimpse of Tomorrow (Retro Frame)","Modern Horizons 2","R","407","","Near Mint Foil","1"
"Monoskelion","Modern Horizons 2","U","229","Colorless","Near Mint Foil","1"
"Phantasmal Dreadmaw","Modern Horizons 2","C","55","Blue","Near Mint Foil","1"
"The Underworld Cookbook (Retro Frame) (Foil Etched)","Modern Horizons 2","U","434","Colorless","Near Mint Foil","1"
"Bilbo, Retired Burglar","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","196","Blue;Red","Near Mint Foil","1"
"Last March of the Ents (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","418","Green","Near Mint Foil","1"
"Storm of Saruman (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","413","Blue","Near Mint Foil","1"
"The One Ring","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","246","Colorless","Near Mint Foil","2"
"Danitha, Benalia's Hope","Prerelease Cards","R","15","White","Near Mint Foil","1"
"Jaheira's Respite","Prerelease Cards","R","238","Green","Near Mint Foil","1"
"Errant and Giada","Promo Pack: March of the Machine","R","224","Blue;White","Near Mint Foil","1"
"Forest (301) - JP Full Art","Kamigawa: Neon Dynasty","L","301","Colorless","Lightly Played Foil","1"
"Steel Overseer","Core Set 2020","R","239","Colorless","Lightly Played Foil","1"
"Shriek Raptor","New Phyrexia","C","","White","Lightly Played Foil","1"
"Cazur, Ruthless Stalker","Commander 2020","M","5","Green","Lightly Played Foil","1"
"Exploration (Borderless)","Double Masters","R","351","Green","Lightly Played Foil","1"
"Unmask","From the Vault: Lore","M","15","Black","Lightly Played Foil","1"
"Jenara, Asura of War","From the Vault: Angels","M","11","Blue;Green;White","Lightly Played Foil","1"
"Greater Auramancy","Judge Promos","P","1","White","Lightly Played Foil","1"
"Swamp (258)","Dominaria","L","258","Colorless","Moderately Played Foil","1"
"Leafcrown Dryad","Theros","C","161","Green","Moderately Played Foil","1"
"Bane of the Living","Legions","R","","Black","Moderately Played Foil","1"
"Jhoira of the Ghitu","Duel Decks: Mind vs. Might","M","1","Blue;Red","Moderately Played Foil","1"
